;transfer;last activation;loss_funct;optimiser;learning rate;batch size;loss1;acc1;mae1;loss2;acc2;mae2;loss3;acc3;mae3
0;True;sigmoid;mse;nag;0.01;10;0.12490042624657455;0.0;0.2661939561367035;0.13472409844987865;0.0;0.2744576632976532;0.137710261547259;0.0;0.2809386551380157
1;True;sigmoid;mse;nag;0.01;50;0.12690301982092872;0.0;0.2683853805065155;0.13240454766356638;0.0;0.27275726199150085;0.12674356522572694;0.0;0.26714229583740234
2;True;sigmoid;mse;nag;0.01;100;0.11875823021779815;0.0;0.25939494371414185;0.12970756479810944;0.0;0.268879234790802;0.11988463824468767;0.0;0.2607625424861908
3;True;sigmoid;mse;nag;0.01;500;0.10218206320102856;0.0;0.2495291382074356;0.11110626182708602;0.0;0.2627352178096771;0.10319789682730453;0.0;0.2423776984214783
4;True;sigmoid;mse;nag;0.1;10;0.11814003972608005;0.0;0.25940707325935364;0.12427960084745107;0.0;0.26341459155082697;0.12158531215761395;0.0;0.2622549831867218
5;True;sigmoid;mse;nag;0.1;50;0.1268796798482724;0.0;0.2660297453403473;0.13069613863349985;0.0;0.2719661295413971;0.12899316003547345;0.0;0.26786699891090393
6;True;sigmoid;mse;nag;0.1;100;0.12102880197759515;0.0;0.25935402512550354;0.13324812556578286;0.0;0.2765819728374481;0.12938368656404253;0.0;0.2740955650806427
7;True;sigmoid;mse;nag;0.1;500;0.11664855613783935;0.0;0.25666487216949463;0.1269589679987319;0.0;0.2697814702987671;0.12451337495955025;0.0;0.2626124322414398
8;True;sigmoid;mse;adam;0.01;10;0.32973479495758906;0.0;0.4630532562732697;0.4022466583556853;0.0;0.5369467735290527;0.4022466583556853;0.0;0.5369467735290527
9;True;sigmoid;mse;adam;0.01;50;0.32973479495758906;0.0;0.4630532562732697;0.32973479495758906;0.0;0.4630532562732697;0.4022466583556853;0.0;0.5369467735290527
10;True;sigmoid;mse;adam;0.01;100;0.32973479495758906;0.0;0.4630532562732697;0.32973479495758906;0.0;0.4630532562732697;0.32973479495758906;0.0;0.4630532562732697
11;True;sigmoid;mse;adam;0.01;500;0.4022466583556853;0.0;0.5369467735290527;0.32973479495758906;0.0;0.4630532562732697;0.32973479495758906;0.0;0.4630532562732697
12;True;sigmoid;mse;adam;0.1;10;0.32973479495758906;0.0;0.4630532562732697;0.4022466583556853;0.0;0.5369467735290527;0.4022466583556853;0.0;0.5369467735290527
13;True;sigmoid;mse;adam;0.1;50;0.4022466583556853;0.0;0.5369467735290527;0.32973479495758906;0.0;0.4630532562732697;0.32973479495758906;0.0;0.4630532562732697
14;True;sigmoid;mse;adam;0.1;100;0.32973479495758906;0.0;0.4630532562732697;0.4022466583556853;0.0;0.5369467735290527;0.32973479495758906;0.0;0.4630532562732697
15;True;sigmoid;mse;adam;0.1;500;0.32973479495758906;0.0;0.4630532562732697;0.4022466583556853;0.0;0.5369467735290527;0.4022466583556853;0.0;0.5369467735290527
16;True;sigmoid;log_loss;nag;0.01;10;1.3830272002525053;0.0;0.4630532264709473;1.3830272253988287;0.0;0.4630532264709473;1.3830271637903364;0.0;0.4630532562732697
17;True;sigmoid;log_loss;nag;0.01;50;1.3830274122674449;0.0;0.4630532264709473;1.3830274140748369;0.0;0.4630532264709473;;0.0;
18;True;sigmoid;log_loss;nag;0.01;100;;0.0;;;0.0;;;0.0;
19;True;sigmoid;log_loss;nag;0.01;500;;0.0;;1.125496363828429;0.0;0.536967933177948;1.1263674868119729;0.0;0.5369458794593811
20;True;sigmoid;log_loss;nag;0.1;10;;0.0;;1.3830271637903364;0.0;0.4630532562732697;1.3830271637903364;0.0;0.4630532562732697
21;True;sigmoid;log_loss;nag;0.1;50;;0.0;;;0.0;;1.383027176363498;0.0;0.4630532562732697
22;True;sigmoid;log_loss;nag;0.1;100;;0.0;;1.3830271637903364;0.0;0.4630532562732697;1.3830271813927628;0.0;0.4630532562732697
23;True;sigmoid;log_loss;nag;0.1;500;;0.0;;1.3830273096390122;0.0;0.4630531370639801;;0.0;
24;True;sigmoid;log_loss;adam;0.01;10;1.3830271637903364;0.0;0.4630532562732697;;0.0;;;0.0;
25;True;sigmoid;log_loss;adam;0.01;50;1.3830271637903364;0.0;0.4630532562732697;1.3830271637903364;0.0;0.4630532562732697;;0.0;
26;True;sigmoid;log_loss;adam;0.01;100;1.3830271637903364;0.0;0.4630532562732697;;0.0;;;0.0;
27;True;sigmoid;log_loss;adam;0.01;500;1.3830271637903364;0.0;0.4630532562732697;;0.0;;;0.0;
28;True;sigmoid;log_loss;adam;0.1;10;1.3830271637903364;0.0;0.4630532562732697;1.3830271637903364;0.0;0.4630532562732697;1.3830271637903364;0.0;0.4630532562732697
29;True;sigmoid;log_loss;adam;0.1;50;1.3830271637903364;0.0;0.4630532562732697;1.3830271637903364;0.0;0.4630532562732697;;0.0;
30;True;sigmoid;log_loss;adam;0.1;100;1.3830271637903364;0.0;0.4630532562732697;;0.0;;1.3830271637903364;0.0;0.4630532562732697
31;True;sigmoid;log_loss;adam;0.1;500;;0.0;;1.3830271637903364;0.0;0.4630532562732697;;0.0;
32;True;linear;mse;nag;0.01;10;;0.0;;;0.0;;;0.0;
33;True;linear;mse;nag;0.01;50;;0.0;;;0.0;;;0.0;
34;True;linear;mse;nag;0.01;100;;0.0;;;0.0;;0.12334797943432077;0.0;0.2768096029758453
35;True;linear;mse;nag;0.01;500;;0.0;;0.1269080180554462;0.0;0.279150128364563;;0.0;
36;True;linear;mse;nag;0.1;10;;0.0;;;0.0;;;0.0;
37;True;linear;mse;nag;0.1;50;;0.0;;;0.0;;;0.0;
38;True;linear;mse;nag;0.1;100;;0.0;;;0.0;;;0.0;
39;True;linear;mse;nag;0.1;500;;0.0;;;0.0;;;0.0;
40;True;linear;mse;adam;0.01;10;0.11470276656595592;0.0;0.2954365313053131;0.09343943750300372;0.0;0.2539731860160828;0.1146834013478962;0.0;0.29533788561820984
41;True;linear;mse;adam;0.01;50;0.10364816768798454;0.0;0.25255727767944336;0.09145823442766993;0.0;0.2455227822065353;0.09915080004486508;0.0;0.2682669460773468
42;True;linear;mse;adam;0.01;100;0.09850540614257773;0.0;0.2608534395694733;0.09443618575738462;0.0;0.2461193948984146;0.09501198182175956;0.0;0.2507263720035553
43;True;linear;mse;adam;0.01;500;0.12352924754667535;0.0;0.2748050093650818;0.11329097866560175;0.0;0.2637230157852173;0.09122487770033733;0.0;0.2464280724525452
44;True;linear;mse;adam;0.1;10;0.11496752899339033;0.0;0.2960449159145355;0.11483103668485416;0.0;0.2949146330356598;0.1334929214882552;0.0;0.3192884624004364
45;True;linear;mse;adam;0.1;50;0.12295713570354486;0.0;0.30793318152427673;0.11551894777471013;0.0;0.2967619001865387;0.11703984903008355;0.0;0.2995518445968628
46;True;linear;mse;adam;0.1;100;0.11900202160358585;0.0;0.302749902009964;0.11493147389033788;0.0;0.2949112355709076;0.11495731624632817;0.0;0.2960280179977417
47;True;linear;mse;adam;0.1;500;0.11471803341461155;0.0;0.29504433274269104;0.11481287690394006;0.0;0.29575133323669434;0.11482484744777;0.0;0.29494112730026245
48;True;linear;log_loss;nag;0.01;10;-19.18620545218159;0.0;216180368.0;-19.18634040369827;0.0;216205040.0;-19.186104392879642;0.0;216153856.0
49;True;linear;log_loss;nag;0.01;50;-16.7716646854549;0.0;19328334.0;-16.771705799693724;0.0;19328804.0;-16.771674267461446;0.0;19327906.0
50;True;linear;log_loss;nag;0.01;100;-15.750495845892749;0.0;6961424.0;-15.750499915196539;0.0;6961167.5;-15.750488611924153;0.0;6961167.5
51;True;linear;log_loss;nag;0.01;500;-13.47725365235763;0.0;716882.25;-13.477292568179125;0.0;716950.6875;-13.477034251314286;0.0;716739.5
52;True;linear;log_loss;nag;0.1;10;-22.638966041720852;0.0;6828613120.0;-22.639516504799445;0.0;6832179200.0;-22.639356740148116;0.0;6831084032.0
53;True;linear;log_loss;nag;0.1;50;-20.225582723799864;0.0;611226816.0;-20.225401040355703;0.0;611114560.0;-20.225405373067233;0.0;611114752.0
54;True;linear;log_loss;nag;0.1;100;-19.20639552453984;0.0;220603776.0;-19.204379801539584;0.0;220138544.0;-19.205440170449023;0.0;220387216.0
55;True;linear;log_loss;nag;0.1;500;-17.413864511679726;0.0;36773432.0;-16.931194509105143;0.0;22671480.0;-16.929879941041328;0.0;22640982.0
56;True;linear;log_loss;adam;0.01;10;-41.81854104712831;0.0;1.458283233991983e+18;-41.840084324876344;0.0;1.490003044941693e+18;-41.796105897183;0.0;1.425908801306886e+18
57;True;linear;log_loss;adam;0.01;50;-38.26898779520175;0.0;4.190291212055347e+16;-38.21260572721397;0.0;3.96054009699369e+16;-38.22016066096689;0.0;3.990623765921792e+16
58;True;linear;log_loss;adam;0.01;100;-36.32231588998592;0.0;5981373319872512.0;-36.40166335838283;0.0;6475154972475392.0;-36.46305970384954;0.0;6885114432716800.0
59;True;linear;log_loss;adam;0.01;500;-31.80225407770769;0.0;65121531461632.0;-31.8030104149936;0.0;65168272785408.0;-32.01479756525652;0.0;80541047062528.0
60;True;linear;log_loss;adam;0.1;10;-46.09380663706428;0.0;1.0485619302025344e+20;-46.214420029420786;0.0;1.1829655278944308e+20;-46.23479098808475;0.0;1.2073055487399037e+20
61;True;linear;log_loss;adam;0.1;50;-43.06988412483633;0.0;5.096754814474256e+18;-43.17000991227836;0.0;5.633455027294044e+18;-43.12201498052991;0.0;5.369510114220835e+18
62;True;linear;log_loss;adam;0.1;100;-41.64154990692239;0.0;1.2217040658224906e+18;-41.687781794729716;0.0;1.279482714667352e+18;-41.62239604288603;0.0;1.1984998349909524e+18
63;True;linear;log_loss;adam;0.1;500;-37.390671691693356;0.0;1.7408550422708224e+16;-37.23983257195631;0.0;1.4972482553380864e+16;-37.29813963878132;0.0;1.5869676525453312e+16
64;True;sigmoid;mse;nag;0.0001;10;0.08721580604384742;0.0006591957644559442;0.2361693382263184;0.08995533563643596;0.0006591957644559442;0.2379495650529861;0.08761006526909303;0.0006591957644559442;0.2350868731737137
65;True;sigmoid;mse;nag;0.0001;50;0.09651009744830093;0.0006591957644559442;0.2604329884052277;0.0944961437718524;0.0006591957644559442;0.2567150890827179;0.09324068482289914;0.0006591957644559442;0.2547028362751007
66;True;sigmoid;mse;nag;0.0001;100;0.09647516615998218;0.0006591957644559442;0.2632242739200592;0.09532196449463354;0.0006591957644559442;0.2602365016937256;0.09517633396795727;0.0006591957644559442;0.26145657896995544
67;True;sigmoid;mse;nag;0.0001;500;0.10251727839716973;0.0006591957644559442;0.2729056775569916;0.10103236602455988;0.0006591957644559442;0.27134039998054504;0.1038161263940518;0.0006591957644559442;0.2756407856941223
68;True;sigmoid;mse;nag;0.001;10;0.1287947119500343;0.0006591957644559442;0.272561639547348;0.13646019544346835;0.0006591957644559442;0.28152140974998474;0.13949188516378874;0.0006591957644559442;0.287589430809021
69;True;sigmoid;mse;nag;0.001;50;0.0971415014342014;0.0006591957644559442;0.2403935641050339;0.10462188597427204;0.0006591957644559442;0.2516494691371918;0.09749648574648834;0.0006591957644559442;0.24409909546375275
70;True;sigmoid;mse;nag;0.001;100;0.0898212813523622;0.0006591957644559442;0.23939098417758944;0.08975961741524145;0.0006591957644559442;0.23646557331085205;0.08832196237601649;0.0006591957644559442;0.2368414402008057
71;True;sigmoid;mse;nag;0.001;500;0.09112616524778076;0.0006591957644559442;0.2492002099752426;0.0917610901904562;0.0006591957644559442;0.2525914311408997;0.0900879839070549;0.0006591957644559442;0.24942119419574735
72;True;sigmoid;mse;adam;0.0001;10;0.1168278776841016;0.0006591957644559442;0.2571377456188202;0.11409561838966965;0.0006591957644559442;0.2576763331890106;0.11512592425551475;0.0006591957644559442;0.25727593898773193
73;True;sigmoid;mse;adam;0.0001;50;0.13397697543500675;0.0006591957644559442;0.2797866761684418;0.12650487153995327;0.0006591957644559442;0.27290117740631104;0.1347520737445268;0.0006591957644559442;0.2781464755535126
74;True;sigmoid;mse;adam;0.0001;100;0.13390992122138104;0.0006591957644559442;0.2739324271678925;0.13021705724451207;0.0006591957644559442;0.27526313066482544;0.13416073739960854;0.0006591957644559442;0.2786271274089813
75;True;sigmoid;mse;adam;0.0001;500;0.14597400119215073;0.0006591957644559442;0.2915767431259155;0.13871788630850154;0.0006591957644559442;0.2807900607585907;0.1343854782843794;0.0006591957644559442;0.2800505757331848
76;True;sigmoid;mse;adam;0.001;10;0.11745889412439335;0.0006591957644559442;0.2590998113155365;0.12247353948372795;0.0006591957644559442;0.26625314354896545;0.12620011814572188;0.0006591957644559442;0.2683018743991852
77;True;sigmoid;mse;adam;0.001;50;0.11019294106830636;0.0006591957644559442;0.2520922720432281;0.10806511800758292;0.0006591957644559442;0.25155580043792725;0.11645893683815442;0.0006591957644559442;0.2610533535480499
78;True;sigmoid;mse;adam;0.001;100;0.11805518892892662;0.0006591957644559442;0.25960686802864075;0.11436308662044273;0.0006591957644559442;0.2571295499801636;0.1147222287250571;0.0006591957644559442;0.26033541560173035
79;True;sigmoid;mse;adam;0.001;500;0.12031021746625692;0.0006591957644559442;0.2644853889942169;0.11098139293506576;0.0006591957644559442;0.2499599605798721;0.11865675652702938;0.0006591957644559442;0.2606581151485443
80;True;sigmoid;log_loss;nag;0.0001;10;1.0991055389415614;0.0;0.5348354578018188;1.354516336771714;0.0;0.4657205641269684;1.35451239767873;0.0;0.4657208919525146
81;True;sigmoid;log_loss;nag;0.0001;50;1.354530281665377;0.0;0.4657193720340729;1.0985826079438372;0.0006591957644559442;0.5342075228691101;;0.0;
82;True;sigmoid;log_loss;nag;0.0001;100;1.1240929192277107;0.0006591957644559442;0.5333276391029358;1.1070351962911196;0.0006591957644559442;0.5342046022415161;1.3566120775734507;0.0;0.4655605554580689
83;True;sigmoid;log_loss;nag;0.0001;500;1.3546781872319955;0.0;0.4657063782215118;1.159861346727621;0.0006591957644559442;0.5270759463310242;1.3546087094333978;0.0;0.4657127857208252
84;True;sigmoid;log_loss;nag;0.001;10;1.3545130892812067;0.0;0.4657208621501922;1.354512843554477;0.0;0.4657208025455475;;0.0;
85;True;sigmoid;log_loss;nag;0.001;50;;0.0;;1.35451239767873;0.0;0.4657208919525146;1.103108193698335;0.0006591957644559442;0.5342621207237244
86;True;sigmoid;log_loss;nag;0.001;100;;0.0;;1.3545157631212108;0.0;0.465720534324646;;0.0;
87;True;sigmoid;log_loss;nag;0.001;500;1.1036161637337647;0.0006591957644559442;0.5342718362808228;;0.0;;;0.0;
88;True;sigmoid;log_loss;adam;0.0001;10;;0.0;;;0.0;;1.35451239767873;0.0;0.4657208919525146
89;True;sigmoid;log_loss;adam;0.0001;50;1.0985136086719165;0.0;0.5349301099777222;1.0985135533500048;0.0;0.5349301695823669;1.0985141367447089;0.0;0.534929633140564
90;True;sigmoid;log_loss;adam;0.0001;100;1.0985136740523571;0.0;0.5349300503730774;;0.0;;;0.0;
91;True;sigmoid;log_loss;adam;0.0001;500;1.0453544745495544;0.0;0.5458763241767883;1.3553503511293044;0.0;0.4654453098773956;inf;0.0006591957644559442;0.5348716378211975
92;True;sigmoid;log_loss;adam;0.001;10;;0.0;;;0.0;;1.35451239767873;0.0;0.4657208919525146
93;True;sigmoid;log_loss;adam;0.001;50;;0.0;;1.35451239767873;0.0;0.4657208919525146;;0.0;
94;True;sigmoid;log_loss;adam;0.001;100;;0.0;;1.35451239767873;0.0;0.4657208919525146;;0.0;
95;True;sigmoid;log_loss;adam;0.001;500;;0.0;;1.35451239767873;0.0;0.4657208919525146;1.35451239767873;0.0;0.4657208919525146
96;True;linear;mse;nag;0.0001;10;0.12342666322825845;0.0;0.2766593396663666;0.12016741225180375;0.0;0.2784483730792999;0.12366939861089207;0.0;0.2763240933418274
97;True;linear;mse;nag;0.0001;50;0.09749739444228324;0.0;0.2500031888484955;0.09866708720406184;0.0;0.2543381750583649;0.09484432807871206;0.0;0.246465876698494
98;True;linear;mse;nag;0.0001;100;0.09793038447691407;0.0;0.25417420268058777;0.09334469454985507;0.0;0.24706785380840304;0.09186350170648168;0.0;0.2448418140411377
99;True;linear;mse;nag;0.0001;500;0.10311529860047816;0.0;0.2631777822971344;0.10144359401341874;0.0;0.2637769877910614;0.09846076987138608;0.0;0.260223001241684
100;True;linear;mse;nag;0.001;10;0.15169858753720475;0.0;0.30230480432510376;0.1595405316030657;0.0;0.3141013085842133;0.14990406117021998;0.0;0.3039451241493225
101;True;linear;mse;nag;0.001;50;0.14071458346292073;0.0;0.2963728308677673;0.14254677550094882;0.0;0.29867830872535706;0.13875810134524802;0.0;0.2933237552642822
102;True;linear;mse;nag;0.001;100;0.12032961909737175;0.0;0.27203938364982605;0.12445867075366886;0.0;0.2795379459857941;0.13191045295685316;0.0;0.2815443575382233
103;True;linear;mse;nag;0.001;500;0.09631160039137912;0.0;0.24766218662261966;0.09941999655494424;0.0;0.2548653185367584;0.09938015686145486;0.0;0.25286999344825745
104;True;linear;mse;adam;0.0001;10;0.10468796987378763;0.0;0.2524315416812897;0.10967788127746406;0.0;0.2623991072177887;0.11046126114060867;0.0;0.260428249835968
105;True;linear;mse;adam;0.0001;50;0.11717950229532405;0.0;0.2673063576221466;0.1136824420567948;0.0;0.2673656642436981;0.11961460234345615;0.0;0.2709038257598877
106;True;linear;mse;adam;0.0001;100;0.13731690511431596;0.0;0.29277223348617554;0.13555864972076528;0.0;0.2900645434856415;0.1355317831972593;0.0;0.29069915413856506
107;True;linear;mse;adam;0.0001;500;0.1514017491766553;0.0;0.3024343550205231;0.15601366133617586;0.0;0.30881962180137634;0.1421541841056053;0.0;0.2921420633792877
108;True;linear;mse;adam;0.001;10;0.11989169411150027;0.0;0.266969233751297;0.12851147690570586;0.0;0.2813408672809601;0.11580738021047317;0.0;0.26498132944107056
109;True;linear;mse;adam;0.001;50;0.10612602210704952;0.0;0.2550009787082672;0.1037077271455043;0.0;0.2543584406375885;0.10693211870202912;0.0;0.2576705515384674
110;True;linear;mse;adam;0.001;100;0.1031507487674646;0.0;0.2545187175273895;0.1073761799458068;0.0;0.2558833360671997;0.10221566307501488;0.0;0.2522486746311188
111;True;linear;mse;adam;0.001;500;0.11386369416292512;0.0;0.26367223262786865;0.10487500669516933;0.0;0.2555566728115082;0.10807667251727893;0.0;0.2580024898052216
112;True;linear;log_loss;nag;0.0001;10;-12.281465558056464;0.0;216906.1875;-12.28162170226588;0.0;216960.078125;-12.280898472000755;0.0;216791.3125
113;True;linear;log_loss;nag;0.0001;50;-9.879597621130644;0.0;19645.259765625;-9.878764984870159;0.0;19624.6171875;-9.876794349856493;0.0;19589.677734375
114;True;linear;log_loss;nag;0.0001;100;-8.869480124884086;0.0;7153.501953125;-8.8778227194407;0.0;7214.62255859375;-8.875830090195233;0.0;7198.15087890625
115;True;linear;log_loss;nag;0.0001;500;-6.670615187741142;0.0;793.3889770507812;-6.69625739667788;0.0;814.0988159179688;-6.685769665767743;0.0;805.2233276367188
116;True;linear;log_loss;nag;0.001;10;-15.73212367229424;0.0;6837492.5;-15.729970312149966;0.0;6822442.0;-15.732260781365474;0.0;6838538.0
117;True;linear;log_loss;nag;0.001;50;-13.31894529250867;0.0;612161.3125;-13.319399943694364;0.0;612423.5625;-13.319531072969882;0.0;612484.8125
118;True;linear;log_loss;nag;0.001;100;-12.29937363739617;0.0;220830.828125;-12.299725767649862;0.0;220923.671875;-12.299627625321431;0.0;220900.875
119;True;linear;log_loss;nag;0.001;500;-10.037742617889382;0.0;23011.1640625;-10.03558675128532;0.0;22961.482421875;-10.036048090135731;0.0;22968.546875
120;True;linear;log_loss;adam;0.0001;10;-30.885272750904786;0.0;26046495719424.0;-30.723400613864;0.0;22153820897280.0;-30.84231428323644;0.0;24951300030464.0
121;True;linear;log_loss;adam;0.0001;50;-26.13749072326982;0.0;225832255488.0;-26.1297483337342;0.0;224089931776.0;-26.176592201328464;0.0;234836508672.0
122;True;linear;log_loss;adam;0.0001;100;-24.194664494332784;0.0;32361226240.0;-23.970814931840593;0.0;25870731264.0;-24.191016777456003;0.0;32243148800.0
123;True;linear;log_loss;adam;0.0001;500;-19.039248053463336;0.0;186657024.0;-19.25020781424616;0.0;230493744.0;-19.3770177560805;0.0;261661680.0
124;True;linear;log_loss;adam;0.001;10;-36.78660820877386;0.0;9521618225201152.0;-36.78234182318811;0.0;9480929852522496.0;-36.72937950682467;0.0;8991919908585472.0
125;True;linear;log_loss;adam;0.001;50;-32.615992446124906;0.0;147026410995712.0;-32.557393163933746;0.0;138656803192832.0;-32.70747406921185;0.0;161109642313728.0
126;True;linear;log_loss;adam;0.001;100;-30.665619110228125;0.0;20910142652416.0;-30.70409577381634;0.0;21729751597056.0;-30.738323971088892;0.0;22486374678528.0
127;True;linear;log_loss;adam;0.001;500;-25.928046996607623;0.0;183157587968.0;-25.844511091198353;0.0;168477376512.0;-25.853203171872746;0.0;169946349568.0
