;transfer;deepened;optimiser;learning rate;batch size;loss1;acc1;loss2;acc2;loss3;acc3;epoch_stopped1;epoch_stopped2;epoch_stopped3
0;True;True;nag;0.0001;10;0.6298897930741123;0.11616954207420348;0.6199312741565555;0.11459968239068985;0.6315889128336165;0.11616954207420348;1570.0;2167.0;1388.0
1;True;False;nag;0.0001;10;0.6606181178774152;0.10204081982374193;0.6514003362910152;0.10361067205667496;0.6520401960826556;0.10204081982374193;1175.0;1069.0;836.0
2;False;True;nag;0.0001;10;0.6443033314761786;0.12087912112474443;0.6345751659836463;0.11459968239068985;0.6375660578160308;0.12087912112474443;2572.0;2987.0;2117.0
3;False;False;nag;0.0001;10;0.640976544732763;0.12087912112474443;0.6381228571783991;0.11145997047424316;0.6394771498451053;0.11616954207420348;3121.0;3147.0;2456.0
4;True;True;nag;0.0001;50;0.6443149183571245;0.11616954207420348;0.6447925183986383;0.11616954207420348;0.6345699819702556;0.11145997047424316;2525.0;2424.0;2214.0
5;True;False;nag;0.0001;50;0.6697237280137498;0.1051805317401886;0.6558991801607739;0.11145997047424316;0.6622474732541215;0.10675039142370224;1529.0;1923.0;1480.0
6;False;True;nag;0.0001;50;0.6627709827206011;0.11459968239068985;0.6547577401719625;0.1130298301577568;0.6538617388232724;0.1130298301577568;4440.0;0.0;4858.0
7;False;False;nag;0.0001;50;0.6607234491096748;0.10989011079072952;0.6543747427137905;0.11145997047424316;0.6607873167497584;0.10832025110721588;4196.0;4792.0;4251.0
8;True;True;nag;0.0001;100;0.647372474288641;0.11145997047424316;0.6519270386763233;0.11773940175771712;0.6466560682846201;0.10989011079072952;2669.0;2498.0;2524.0
9;True;False;nag;0.0001;100;0.6752220279006419;0.1051805317401886;0.6588770449629384;0.10675039142370224;0.6638337109863665;0.10361067205667496;1638.0;2124.0;2359.0
10;False;True;nag;0.0001;100;0.6896905411543615;0.08791209012269974;0.6681111405371123;0.11616954207420348;0.66917944731106;0.11145997047424316;179.0;0.0;3552.0
11;False;False;nag;0.0001;100;0.6863218347543449;0.10675039142370224;0.6838933054468882;0.10989011079072952;0.6811444111858471;0.11459968239068985;2344.0;2555.0;2852.0
12;True;True;nag;0.0001;500;0.6697048344642065;0.1051805317401886;0.6613107191711617;0.1130298301577568;0.6668256070213378;0.10989011079072952;2257.0;2995.0;2925.0
13;True;False;nag;0.0001;500;0.6872038364036117;0.10832025110721588;0.6778796601520042;0.10832025110721588;0.6792737726513969;0.11145997047424316;4103.0;4981.0;0.0
14;False;True;nag;0.0001;500;0.6916413782529965;0.097331240773201;0.6907767438252268;0.10047096014022827;0.6971842191844383;0.05180533602833748;80.0;325.0;367.0
15;False;False;nag;0.0001;500;0.6986705392271608;0.07378336042165756;0.7028418242276371;0.05180533602833748;0.6950189249481848;0.05180533602833748;892.0;970.0;1037.0
16;True;True;nag;0.001;10;0.634058226034443;0.12087912112474443;0.6209481751525795;0.1130298301577568;0.6190116170624175;0.12087912112474443;264.0;284.0;235.0
17;True;False;nag;0.001;10;0.6311328181853662;0.11459968239068985;0.6245940645785311;0.11616954207420348;0.6305627748019279;0.11459968239068985;1497.0;2079.0;998.0
18;False;True;nag;0.001;10;0.6401890616401961;0.12087912112474443;0.6258910871936912;0.11616954207420348;0.6267382614840892;0.12087912112474443;513.0;550.0;380.0
19;False;False;nag;0.001;10;0.6309343515610208;0.11930926144123075;0.6232660875964202;0.12087912112474443;0.6223957815574515;0.11773940175771712;1110.0;1508.0;880.0
20;True;True;nag;0.001;50;0.6407355682067631;0.1130298301577568;0.6091666995449755;0.12087912112474443;0.6189978078732872;0.11930926144123075;874.0;1002.0;697.0
21;True;False;nag;0.001;50;0.6506523023033441;0.10989011079072952;0.6494886497126271;0.1051805317401886;0.6478945077682028;0.1051805317401886;757.0;916.0;700.0
22;False;True;nag;0.001;50;0.6341444982838593;0.11930926144123075;0.6320880736623492;0.11616954207420348;0.6289540307488135;0.12087912112474443;1963.0;2128.0;1577.0
23;False;False;nag;0.001;50;0.6405287902433794;0.12244898080825806;0.6275525965159129;0.11616954207420348;0.629617628066843;0.12244898080825806;2109.0;2798.0;1812.0
24;True;True;nag;0.001;100;0.6231091941357407;0.1240188404917717;0.6334576200652908;0.11145997047424316;0.6211002706732818;0.1130298301577568;1721.0;1454.0;1340.0
25;True;False;nag;0.001;100;0.6590607854036185;0.10204081982374193;0.6493682206332029;0.1051805317401886;0.6435880243684657;0.10675039142370224;985.0;1198.0;1064.0
26;False;True;nag;0.001;100;0.6480781678315047;0.12244898080825806;0.6325042958910836;0.11616954207420348;0.6376961695156067;0.11145997047424316;2245.0;2754.0;2262.0
27;False;False;nag;0.001;100;0.6448114900798588;0.11616954207420348;0.6404912664527235;0.11459968239068985;0.6383773185768906;0.11930926144123075;2970.0;3044.0;2684.0
28;True;True;nag;0.001;500;0.6565663540382026;0.10989011079072952;0.6358455494397102;0.11616954207420348;0.6405183296750068;0.10989011079072952;2202.0;3132.0;1566.0
29;True;False;nag;0.001;500;0.6622419414378036;0.10204081982374193;0.6588512385845933;0.1051805317401886;0.6557068078072517;0.10204081982374193;1756.0;1492.0;1478.0
30;False;True;nag;0.001;500;0.66106387949439;0.11459968239068985;0.6565979172708101;0.11145997047424316;0.6514550594370256;0.11616954207420348;4856.0;0.0;0.0
31;False;False;nag;0.001;500;0.6704105775060609;0.11145997047424316;0.656916143568569;0.11773940175771712;0.6600554206494821;0.10989011079072952;3885.0;0.0;3740.0
32;True;True;nag;0.001;10;0.6293753234894721;0.12244898080825806;0.6131207181295757;0.1240188404917717;0.6134160250846408;0.11930926144123075;267.0;270.0;304.0
33;True;False;nag;0.001;10;0.6381635687414855;0.11145997047424316;0.6293634208068368;0.11459968239068985;0.626574093449621;0.11930926144123075;1469.0;1526.0;870.0
34;False;True;nag;0.001;10;0.6358514454338576;0.1240188404917717;0.6214566384230155;0.11459968239068985;0.6285545955086054;0.11930926144123075;653.0;567.0;511.0
35;False;False;nag;0.001;10;0.6238291765120191;0.12087912112474443;0.621018300906081;0.11930926144123075;0.6176202377681642;0.12087912112474443;1086.0;1448.0;1075.0
36;True;True;nag;0.001;50;0.6238932955770328;0.12087912112474443;0.6170384352398068;0.11616954207420348;0.6185047770594503;0.11773940175771712;856.0;1062.0;771.0
37;True;False;nag;0.001;50;0.6561696917707542;0.10675039142370224;0.6467988508836815;0.10361067205667496;0.6490839601873042;0.10204081982374193;952.0;894.0;775.0
38;False;True;nag;0.001;50;0.6436683404576647;0.11930926144123075;0.6277163206501696;0.12087912112474443;0.6307946681227752;0.11616954207420348;1563.0;2017.0;1349.0
39;False;False;nag;0.001;50;0.6336672078683575;0.12087912112474443;0.6349402722234442;0.11773940175771712;0.6338844590321815;0.11773940175771712;2575.0;2617.0;1853.0
40;True;True;nag;0.001;100;0.6204179125827748;0.12087912112474443;0.6123763743899119;0.11616954207420348;0.6173902026712427;0.11616954207420348;1559.0;1673.0;1345.0
41;True;False;nag;0.001;100;0.6536525337250678;0.09890110045671464;0.6527447766000098;0.10204081982374193;0.648698897620011;0.1051805317401886;1138.0;1110.0;1135.0
42;False;True;nag;0.001;100;0.6499563660501873;0.11773940175771712;0.6325037310973067;0.1130298301577568;0.6374294847671054;0.1240188404917717;2133.0;2687.0;2001.0
43;False;False;nag;0.001;100;0.6452773038409007;0.12087912112474443;0.6394019263505561;0.11773940175771712;0.6444963505915607;0.11459968239068985;2591.0;2387.0;2292.0
44;True;True;nag;0.001;500;0.6441209467838473;0.11459968239068985;0.6373179181591495;0.10989011079072952;0.6270812266101268;0.11773940175771712;2596.0;2570.0;3113.0
45;True;False;nag;0.001;500;0.6612508292288011;0.10361067205667496;0.6614490121462656;0.10989011079072952;0.6565240672095043;0.10361067205667496;1615.0;1736.0;1581.0
46;False;True;nag;0.001;500;0.6661452964486282;0.11459968239068985;0.6517510943734665;0.11616954207420348;0.6459899228446337;0.11459968239068985;4497.0;0.0;4836.0
47;False;False;nag;0.001;500;0.6698469256681026;0.10832025110721588;0.657704949566109;0.1130298301577568;0.6587704490267875;0.1130298301577568;3854.0;4828.0;3769.0
48;True;True;nag;0.01;10;0.7083568941667279;0.11459968239068985;0.6905457000343167;0.11459968239068985;0.6958452090737958;0.12087912112474443;118.0;115.0;107.0
49;True;False;nag;0.01;10;0.6548238781220872;0.12087912112474443;0.6369850876005703;0.11616954207420348;0.6517327718869483;0.11459968239068985;324.0;324.0;297.0
50;False;True;nag;0.01;10;0.6646923889732061;0.11930926144123075;;0.01726844534277916;;0.01726844534277916;124.0;151.0;127.0
51;False;False;nag;0.01;10;0.6421077387112089;0.12087912112474443;0.6266897525667583;0.11773940175771712;0.6158638640513039;0.12087912112474443;219.0;289.0;215.0
52;True;True;nag;0.01;50;0.6501211084226611;0.11930926144123075;0.6203513597394084;0.11930926144123075;0.6303607118747298;0.11930926144123075;176.0;195.0;191.0
53;True;False;nag;0.01;50;0.6312624171165694;0.11616954207420348;0.6301536571287099;0.11773940175771712;0.6492186254197425;0.11930926144123075;1035.0;1037.0;521.0
54;False;True;nag;0.01;50;0.6554533326457397;0.12244898080825806;0.6310429351296118;0.11459968239068985;0.6250100961098304;0.11773940175771712;340.0;319.0;303.0
55;False;False;nag;0.01;50;0.6211257536706969;0.12087912112474443;0.6234405742522499;0.1130298301577568;0.6216508776089834;0.11773940175771712;657.0;738.0;578.0
56;True;True;nag;0.01;100;0.6834438492776459;0.1051805317401886;0.7552607258784715;0.10675039142370224;0.6390825892729887;0.12087912112474443;274.0;383.0;304.0
57;True;False;nag;0.01;100;0.6517284022208473;0.11459968239068985;0.635922369440459;0.1130298301577568;0.6386603435130097;0.10832025110721588;724.0;1525.0;670.0
58;False;True;nag;0.01;100;0.6380394684089409;0.12715855240821838;0.6215364662594101;0.11616954207420348;0.6277887915704089;0.12087912112474443;577.0;556.0;467.0
59;False;False;nag;0.01;100;0.6299044246576271;0.12244898080825806;0.6274899984454061;0.11459968239068985;0.621989843515998;0.12244898080825806;967.0;1361.0;1080.0
60;True;True;nag;0.01;500;0.6142453113380744;0.11616954207420348;0.6219763988789808;0.11930926144123075;0.6193276033670974;0.11459968239068985;983.0;1044.0;1009.0
61;True;False;nag;0.01;500;0.6516132974175494;0.10675039142370224;0.6475450050325559;0.10361067205667496;0.6489202779727977;0.1051805317401886;809.0;836.0;766.0
62;False;True;nag;0.01;500;0.6413316888562177;0.11930926144123075;0.6267291171771578;0.11459968239068985;0.6312066028406332;0.11773940175771712;1678.0;1952.0;1307.0
63;False;False;nag;0.01;500;0.6444868720494784;0.12087912112474443;0.6317815184593201;0.11616954207420348;0.6371526544097829;0.11773940175771712;1936.0;2404.0;1862.0
0;True;True;adam;0.0001;10;0.6632742952888764;0.14128728210926056;0.6298035491766698;0.14128728210926056;0.6396479258544778;0.1459968537092209;104.0;114.0;114.0
1;True;False;adam;0.0001;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;208.0;199.0;197.0
2;False;True;adam;0.0001;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;92.0;100.0;115.0
3;False;False;adam;0.0001;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;161.0;162.0;159.0
4;True;True;adam;0.0001;50;0.6350312523040891;0.14128728210926056;0.6347182362195648;0.14756672084331512;0.6197720071771643;0.14128728210926056;135.0;167.0;136.0
5;True;False;adam;0.0001;50;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;507.0;503.0;475.0
6;False;True;adam;0.0001;50;0.6125264988402183;0.1428571492433548;;0.023547880351543427;;0.023547880351543427;119.0;135.0;146.0
7;False;False;adam;0.0001;50;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;323.0;375.0;359.0
8;True;True;adam;0.0001;100;0.6059355442901982;0.14442700147628784;0.6134112183490017;0.14913657307624814;0.6188464449189335;0.14442700147628784;145.0;180.0;147.0
9;True;False;adam;0.0001;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;808.0;798.0;828.0
10;False;True;adam;0.0001;100;0.6047451585016594;0.1428571492433548;0.5993467455194734;0.1507064402103424;0.6182647366164431;0.1428571492433548;127.0;176.0;157.0
11;False;False;adam;0.0001;100;0.5982087098260876;0.1507064402103424;;0.023547880351543427;0.5943027598142998;0.15227629244327545;304.0;582.0;526.0
12;True;True;adam;0.0001;500;0.6125494695533201;0.14756672084331512;0.5963759269781727;0.14913657307624814;0.6173554577483112;0.1459968537092209;222.0;288.0;266.0
13;True;False;adam;0.0001;500;0.6065113053217039;0.1459968537092209;0.6059932940795995;0.1507064402103424;0.6094263296112348;0.14442700147628784;1897.0;2151.0;2540.0
14;False;True;adam;0.0001;500;0.6024717930909042;0.14442700147628784;0.5940349073013294;0.1507064402103424;0.6045198864427803;0.14913657307624814;190.0;251.0;255.0
15;False;False;adam;0.0001;500;0.595920956116082;0.1507064402103424;0.5857037782107642;0.15227629244327545;0.5969637415285575;0.14913657307624814;694.0;914.0;1049.0
16;True;True;adam;0.001;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;97.0;91.0;94.0
17;True;False;adam;0.001;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;119.0;115.0;115.0
18;False;True;adam;0.001;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;87.0;89.0;86.0
19;False;False;adam;0.001;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;97.0;94.0;96.0
20;True;True;adam;0.001;50;;0.023547880351543427;;0.023547880351543427;0.6780819209815943;0.14756672084331512;91.0;102.0;90.0
21;True;False;adam;0.001;50;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;178.0;192.0;199.0
22;False;True;adam;0.001;50;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;92.0;88.0;87.0
23;False;False;adam;0.001;50;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;100.0;117.0;115.0
24;True;True;adam;0.001;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;95.0;99.0;100.0
25;True;False;adam;0.001;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;254.0;296.0;315.0
26;False;True;adam;0.001;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;85.0;92.0;88.0
27;False;False;adam;0.001;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;112.0;124.0;130.0
28;True;True;adam;0.001;500;0.6681899904643348;0.13343799114227295;0.6524322694474525;0.1428571492433548;0.6331216316769599;0.1428571492433548;125.0;111.0;106.0
29;True;False;adam;0.001;500;0.5979686502946228;0.14128728210926056;0.5913790170588711;0.1459968537092209;0.5949109161105972;0.14913657307624814;451.0;609.0;499.0
30;False;True;adam;0.001;500;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;91.0;100.0;111.0
31;False;False;adam;0.001;500;0.6025867253495161;0.14913657307624814;0.5906431485944116;0.1507064402103424;0.6014701476089621;0.1459968537092209;154.0;167.0;249.0
32;True;True;adam;0.001;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;90.0;97.0;94.0
33;True;False;adam;0.001;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;113.0;117.0;116.0
34;False;True;adam;0.001;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;84.0;84.0;85.0
35;False;False;adam;0.001;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;99.0;92.0;95.0
36;True;True;adam;0.001;50;;0.023547880351543427;;0.023547880351543427;0.6894380130236339;0.13971742987632751;99.0;100.0;97.0
37;True;False;adam;0.001;50;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;196.0;190.0;205.0
38;False;True;adam;0.001;50;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;83.0;90.0;88.0
39;False;False;adam;0.001;50;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;106.0;121.0;116.0
40;True;True;adam;0.001;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;98.0;98.0;98.0
41;True;False;adam;0.001;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;280.0;247.0;274.0
42;False;True;adam;0.001;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;90.0;95.0;93.0
43;False;False;adam;0.001;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;116.0;133.0;131.0
44;True;True;adam;0.001;500;0.6417321629202347;0.13814756274223328;;0.023547880351543427;0.6700704337289233;0.14128728210926056;107.0;116.0;116.0
45;True;False;adam;0.001;500;0.6019027735599356;0.14756672084331512;0.5943314798959944;0.1459968537092209;0.5927213297534026;0.14442700147628784;664.0;465.0;617.0
46;False;True;adam;0.001;500;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;99.0;99.0;107.0
47;False;False;adam;0.001;500;0.5957543114478023;0.1428571492433548;0.5856964348623853;0.15227629244327545;0.5981589308713258;0.14913657307624814;161.0;218.0;191.0
48;True;True;adam;0.01;10;0.6924192610677782;0.135007843375206;0.6925220969520521;0.135007843375206;;0.023547880351543427;82.0;80.0;79.0
49;True;False;adam;0.01;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;85.0;87.0;85.0
50;False;True;adam;0.01;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;80.0;80.0;81.0
51;False;False;adam;0.01;10;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;83.0;85.0;86.0
52;True;True;adam;0.01;50;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;146.0;79.0;119.0
53;True;False;adam;0.01;50;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;95.0;101.0;99.0
54;False;True;adam;0.01;50;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;83.0;83.0;85.0
55;False;False;adam;0.01;50;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;88.0;89.0;88.0
56;True;True;adam;0.01;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;79.0;79.0;79.0
57;True;False;adam;0.01;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;105.0;113.0;107.0
58;False;True;adam;0.01;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;86.0;87.0;84.0
59;False;False;adam;0.01;100;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;91.0;90.0;86.0
60;True;True;adam;0.01;500;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;153.0;79.0;79.0
61;True;False;adam;0.01;500;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;157.0;202.0;148.0
62;False;True;adam;0.01;500;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;86.0;88.0;89.0
63;False;False;adam;0.01;500;;0.023547880351543427;;0.023547880351543427;;0.023547880351543427;99.0;105.0;93.0
